sample,tempo para fechamento,number,creator user cargo,creator user seguidores,creator user tempo no GitHub,closed user cargo,closed user seguidores,closed user tempo no GitHub,closed_count,open_count,framework,relative_open_count,relative_closed_count
googlearchive/ADBPlugin,93.90625,22.272727272727273,,2736.6363636363635,635.8484848484849,,27048.6875,1722.75,32.0,1.0,Android,3.0303030303030303,96.96969696969697
googlearchive/Abelana-Android,,1.0,,64.0,1058.0,,,,0.0,1.0,Android,100.0,0.0
googlearchive/CWSLauncher-extension,,1.0,,0.0,620.0,,,,0.0,1.0,Android,100.0,0.0
googlearchive/ChromeWebLab,8.333333333333334,31.64814814814815,,1105.0555555555557,1304.3703703703704,,1130.4666666666667,1350.2333333333333,30.0,24.0,Android,44.44444444444444,55.55555555555556
googlearchive/EventSource-Examples,9.0,3.6666666666666665,,12.333333333333334,1202.0,,68.0,1935.0,2.0,1.0,Android,33.33333333333333,66.66666666666666
googlearchive/FirebaseUI,45.5,4.0,,741.6666666666666,1546.8333333333333,,1257.1666666666667,1093.1666666666667,6.0,0.0,Android,0.0,100.0
googlearchive/IMD,119.33333333333333,11.875,,156.375,2109.375,,563.0,1903.6666666666667,3.0,5.0,Android,62.5,37.5
googlearchive/MobileShoppingAssistant-sample,141.0,2.5,,3.5,492.5,,7.0,220.0,1.0,1.0,Android,50.0,50.0
googlearchive/NodeBind,18.88888888888889,8.461538461538462,,289.38461538461536,1175.6923076923076,,414.3333333333333,1172.5555555555557,9.0,4.0,Android,30.76923076923077,69.23076923076923
googlearchive/OpenInChrome,0.0,14.384615384615385,,42.92307692307692,860.9230769230769,,1.0,630.0,1.0,12.0,Android,92.3076923076923,7.6923076923076925
googlearchive/PointerGestures,102.0,26.23076923076923,,223.5,1496.1923076923076,,424.2,1903.36,25.0,1.0,Android,3.8461538461538463,96.15384615384616
googlearchive/Propel,102.26315789473684,40.25925925925926,,609.4074074074074,2063.703703703704,,887.2105263157895,2377.4736842105262,19.0,8.0,Android,29.629629629629626,70.37037037037037
googlearchive/TemplateBinding,53.289655172413795,105.72727272727273,,468.14204545454544,1095.25,,468.36551724137934,1023.0137931034483,145.0,31.0,Android,17.613636363636363,82.38636363636364
googlearchive/abelana,0.0,7.428571428571429,,92.14285714285714,1176.4285714285713,,136.5,1890.0,2.0,5.0,Android,71.42857142857143,28.57142857142857
googlearchive/accessibility-developer-tools-extension,10.8,28.923076923076923,,351.5769230769231,1503.576923076923,,262.8,1831.2,5.0,21.0,Android,80.76923076923077,19.230769230769234
googlearchive/ace-element,,4.5,,22.0,1256.0,,,,0.0,2.0,Android,100.0,0.0
googlearchive/acre,0.0,3.5,,1475.0,264.0,,1475.0,264.0,3.0,3.0,Android,50.0,50.0
googlearchive/actionssdk-eliza-nodejs,133.0,6.0,,33.0,3215.0,,127.0,2075.0,1.0,0.0,Android,0.0,100.0
googlearchive/adaptive-ui-patterns,21.6,4.0,,27052.714285714286,2249.5714285714284,,37673.0,2333.0,5.0,2.0,Android,28.57142857142857,71.42857142857143
googlearchive/airspeed,,1.0,,104.0,1776.0,,,,0.0,1.0,Android,100.0,0.0
googlearchive/android-AccelerometerPlay,317.0,3.5,,4.0,541.0,,56.0,1667.5,2.0,0.0,Android,0.0,100.0
googlearchive/android-ActionBarCompat-ShareActionProvider,909.3333333333334,5.333333333333333,,23.666666666666668,897.6666666666666,,104.0,2377.0,3.0,0.0,Android,0.0,100.0
googlearchive/android-ActionBarCompat-Styled,310.0,1.0,,75.0,1337.0,,75.0,1647.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-ActiveNotifications,1174.2857142857142,5.285714285714286,,103.42857142857143,1665.857142857143,,104.0,2357.0,7.0,0.0,Android,0.0,100.0
googlearchive/android-ActivitySceneTransitionBasic,208.77777777777777,6.555555555555555,,1069.3333333333333,1265.111111111111,,4506.444444444444,1836.3333333333333,9.0,0.0,Android,0.0,100.0
googlearchive/android-AlwaysOn,464.0,1.0,,1.0,375.0,,104.0,2334.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-AppRestrictionEnforcer,1139.0,2.0,,1.0,542.3333333333334,,104.0,2339.0,3.0,0.0,Android,0.0,100.0
googlearchive/android-AppRestrictionSchema,1076.0,1.0,,6.0,2184.0,,104.0,2339.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-AppRestrictions,1174.0,1.0,,2.0,69.0,,104.0,2339.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-AppShortcuts,3.5,9.0,,27.5,521.25,,27.5,525.0,4.0,0.0,Android,0.0,100.0
googlearchive/android-AsymmetricFingerprintDialog,791.625,8.5,,7.75,1101.625,,104.0,2368.0,8.0,0.0,Android,0.0,100.0
googlearchive/android-AutoBackupForApps,1554.0,1.0,,11.0,133.0,,104.0,2377.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-AutofillFramework,10.0,7.3076923076923075,,589.4615384615385,1300.7692307692307,,555.8461538461538,1368.5384615384614,13.0,0.0,Android,0.0,100.0
googlearchive/android-BasicAccessibility,837.1666666666666,5.166666666666667,,178.0,2169.8333333333335,,104.0,2377.0,6.0,0.0,Android,0.0,100.0
googlearchive/android-BasicAndroidKeyStore,482.5,2.75,,18.0,1366.25,,104.0,2368.0,4.0,0.0,Android,0.0,100.0
googlearchive/android-BasicManagedProfile,222.6,4.8,,3.2,805.0,,689.4,1611.6,5.0,0.0,Android,0.0,100.0
googlearchive/android-BasicMediaDecoder,0.0,6.0,,130.0,2677.0,,130.0,2677.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-BasicMultitouch,272.0,1.0,,28.0,430.0,,28.0,703.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-BasicNetworking,138.0,1.0,,0.0,1747.0,,104.0,2363.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-BasicNotifications,486.0,4.0,,131.25,1338.0,,864.5,1849.75,4.0,0.0,Android,0.0,100.0
googlearchive/android-BasicRenderScript,730.2,3.2,,5.4,826.2,,87.4,2051.0,5.0,0.0,Android,0.0,100.0
googlearchive/android-BasicSyncAdapter,811.4444444444445,8.11111111111111,,13.666666666666666,975.4444444444445,,92.44444444444444,2140.777777777778,9.0,0.0,Android,0.0,100.0
googlearchive/android-BasicTransition,1.0,2.0,,8.0,324.0,,1469.0,1518.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-BatchStepSensor,1026.0,2.0,,4.0,1486.0,,104.0,2340.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-BluetoothAdvertisements,104.0,6.0,,1482.0,1384.0,,12.5,440.0,3.0,0.0,Android,0.0,100.0
googlearchive/android-BluetoothChat,62.8,23.2,,13.8,733.2,,646.8,1205.6,5.0,0.0,Android,0.0,100.0
googlearchive/android-BluetoothLeGatt,81.8,34.4,,3.2,655.4,,348.3,987.1,10.0,0.0,Android,0.0,100.0
googlearchive/android-BorderlessButtons,1354.5,2.0,,28.0,1647.0,,104.0,2364.0,2.0,0.0,Android,0.0,100.0
googlearchive/android-Camera2Basic,683.2045454545455,82.00757575757575,,171.68939393939394,1047.9242424242425,,180.16666666666666,2164.3863636363635,132.0,0.0,Android,0.0,100.0
googlearchive/android-Camera2Raw,675.6666666666666,13.61111111111111,,4.444444444444445,1311.5,,104.0,2349.0,18.0,0.0,Android,0.0,100.0
googlearchive/android-Camera2Video,755.6111111111111,51.6,,170.05555555555554,1013.9111111111112,,106.68539325842697,2204.14606741573,90.0,0.0,Android,0.0,100.0
googlearchive/android-CardEmulation,397.5833333333333,6.5,,12.916666666666666,1118.4166666666667,,96.0,2193.9166666666665,12.0,0.0,Android,0.0,100.0
googlearchive/android-CardReader,336.5,2.5,,0.5,1323.5,,104.0,2363.0,2.0,0.0,Android,0.0,100.0
googlearchive/android-CardView,471.0,3.6666666666666665,,4.666666666666667,738.6666666666666,,388.3333333333333,1445.6666666666667,3.0,0.0,Android,0.0,100.0
googlearchive/android-CommitContentSampleIME,0.0,12.0,,3.0,1289.0,,3.0,1289.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-ConfirmCredential,643.3333333333334,5.0,,27.666666666666668,1950.6666666666667,,77.0,2277.3333333333335,3.0,0.0,Android,0.0,100.0
googlearchive/android-ConstraintLayoutExamples,36.0,48.53846153846154,,15.923076923076923,1374.1538461538462,,626.4615384615385,1852.8461538461538,13.0,0.0,Android,0.0,100.0
googlearchive/android-ContentProviderPaging,739.0,1.0,,26.0,1123.0,,104.0,2363.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-CustomChoiceList,1115.0,3.2,,906.4,890.6,,104.0,2364.0,5.0,0.0,Android,0.0,100.0
googlearchive/android-CustomNotifications,41.0,1.0,,2824.0,962.0,,3231.0,1942.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-CustomTransition,254.0,2.0,,15.0,917.0,,104.0,2334.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-DarkTheme,0.5,3.0,,554.0,658.0,,554.0,659.5,2.0,0.0,Android,0.0,100.0
googlearchive/android-DataLayer,198.75,3.75,,10.0,1270.5,,104.0,2013.75,4.0,0.0,Android,0.0,100.0
googlearchive/android-DelayedConfirmation,263.6666666666667,2.0,,21.666666666666668,1189.3333333333333,,70.0,1114.6666666666667,3.0,0.0,Android,0.0,100.0
googlearchive/android-DeviceOwner,831.0,3.6666666666666665,,0.5,599.5,,86.66666666666667,1971.8333333333333,6.0,0.0,Android,0.0,100.0
googlearchive/android-DirectBoot,576.3333333333334,4.666666666666667,,14.833333333333334,1109.0,,628.5,2081.3333333333335,6.0,0.0,Android,0.0,100.0
googlearchive/android-DirectShare,949.0,3.5,,789.6666666666666,1391.3333333333333,,104.0,2377.0,6.0,0.0,Android,0.0,100.0
googlearchive/android-DirectorySelection,547.75,4.625,,105.0,1337.875,,574.75,2254.625,8.0,0.0,Android,0.0,100.0
googlearchive/android-DisplayingBitmaps,241.71428571428572,5.857142857142857,,1263.2857142857142,1603.7142857142858,,61.714285714285715,2153.8571428571427,7.0,0.0,Android,0.0,100.0
googlearchive/android-DocumentCentricApps,0.0,1.0,,999.0,982.0,,999.0,983.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-DownloadableFonts,55.0,5.6,,3.2,580.4,,691.8,1661.0,5.0,0.0,Android,0.0,100.0
googlearchive/android-DrawableTinting,362.0,1.0,,4419.0,3774.0,,104.0,2339.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-ElevationBasic,105.0,1.0,,4.0,1014.0,,3231.0,1661.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-ElevationDrag,91.0,1.0,,4.0,1028.0,,3231.0,1661.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-ElizaChat,629.0,1.0,,1.0,153.0,,104.0,1370.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-EmojiCompat,7.833333333333333,16.5,,3.1666666666666665,1296.6666666666667,,3.1666666666666665,1304.6666666666667,6.0,0.0,Android,0.0,100.0
googlearchive/android-FindMyPhone,478.5,1.5,,2.0,1068.0,,104.0,1370.0,2.0,0.0,Android,0.0,100.0
googlearchive/android-FingerprintDialog,524.5294117647059,31.88235294117647,,264.15686274509807,944.9607843137255,,388.921568627451,2010.6274509803923,51.0,0.0,Android,0.0,100.0
googlearchive/android-FloatingActionButtonBasic,703.25,2.5,,139.0,1117.25,,4952.0,2126.0,4.0,0.0,Android,0.0,100.0
googlearchive/android-Geofencing,441.6666666666667,6.111111111111111,,47.77777777777778,1300.3333333333333,,904.5555555555555,2013.3333333333333,9.0,0.0,Android,0.0,100.0
googlearchive/android-GridViewPager,14.0,2.0,,4.0,1386.0,,104.0,1396.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-HdrViewfinder,729.3333333333334,3.5,,9.333333333333334,887.6666666666666,,77.33333333333333,2222.5,6.0,0.0,Android,0.0,100.0
googlearchive/android-Interpolator,1151.75,2.5,,11.5,1049.5,,366.25,2103.75,4.0,0.0,Android,0.0,100.0
googlearchive/android-JobScheduler,338.9166666666667,7.25,,23.5,909.0833333333334,,769.1666666666666,2317.25,12.0,0.0,Android,0.0,100.0
googlearchive/android-JumpingJack,114.5,1.5,,0.0,489.0,,104.0,2332.0,2.0,0.0,Android,0.0,100.0
googlearchive/android-LNotifications,531.0,2.0,,5.333333333333333,1009.6666666666666,,69.33333333333333,1857.0,3.0,0.0,Android,0.0,100.0
googlearchive/android-MediaBrowserService,310.8,6.5,,4.9,1067.4,,86.9,2839.1,10.0,0.0,Android,0.0,100.0
googlearchive/android-MediaEffects,461.0,2.0,,76.0,535.5,,127.5,1586.5,2.0,0.0,Android,0.0,100.0
googlearchive/android-MediaRecorder,493.09090909090907,12.181818181818182,,33.36363636363637,1535.7272727272727,,99.72727272727273,2450.2727272727275,11.0,0.0,Android,0.0,100.0
googlearchive/android-MessagingService,837.0,3.75,,310.25,1421.75,,104.0,2363.0,4.0,0.0,Android,0.0,100.0
googlearchive/android-MidiScope,1480.0,1.0,,288.0,2671.0,,104.0,2353.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-MultiWindowPlayground,130.0,3.3333333333333335,,67.33333333333333,653.3333333333334,,524.3333333333334,1051.6666666666667,3.0,0.0,Android,0.0,100.0
googlearchive/android-NavigationDrawer,1033.4285714285713,7.285714285714286,,122.71428571428571,1115.0,,195.28571428571428,2090.8571428571427,7.0,0.0,Android,0.0,100.0
googlearchive/android-NetworkConnect,245.0,2.3333333333333335,,10.666666666666666,1264.3333333333333,,3231.0,1922.0,3.0,0.0,Android,0.0,100.0
googlearchive/android-NfcProvisioning,571.4,3.0,,891.6,1677.8,,69.6,1758.8,5.0,0.0,Android,0.0,100.0
googlearchive/android-NotificationChannels,585.7692307692307,13.307692307692308,,594.7692307692307,1387.0,,97.53846153846153,2132.3846153846152,13.0,0.0,Android,0.0,100.0
googlearchive/android-Notifications,128.16666666666666,5.166666666666667,,29.333333333333332,1477.5,,66.66666666666667,1871.8333333333333,6.0,0.0,Android,0.0,100.0
googlearchive/android-OurStreets,332.6666666666667,2.0,,1084.0,1226.0,,2189.3333333333335,2318.0,3.0,0.0,Android,0.0,100.0
googlearchive/android-PdfRendererBasic,646.7391304347826,14.173913043478262,,32.91304347826087,854.5217391304348,,350.0,2092.695652173913,23.0,0.0,Android,0.0,100.0
googlearchive/android-PictureInPicture,91.4,7.4,,12.6,926.6,,34.6,1116.0,5.0,0.0,Android,0.0,100.0
googlearchive/android-RecyclerView,32.0,12.5,,11.333333333333334,726.8333333333334,,46.5,782.6666666666666,6.0,0.0,Android,0.0,100.0
googlearchive/android-RenderScriptIntrinsic,643.0,2.0,,21.0,1163.0,,104.0,2334.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-RepeatingAlarm,784.5,1.5,,17.5,290.0,,104.0,2370.0,2.0,0.0,Android,0.0,100.0
googlearchive/android-RevealEffectBasic,71.0,1.0,,5.0,540.0,,16369.0,1808.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-RuntimePermissions,819.0,12.272727272727273,,491.8181818181818,1288.909090909091,,147.63636363636363,1987.1818181818182,11.0,0.0,Android,0.0,100.0
googlearchive/android-RuntimePermissionsBasic,0.0,4.0,,0.0,1042.0,,0.0,1042.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-RuntimePermissionsWear,685.0,1.0,,0.0,0.0,,104.0,2334.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-ScopedDirectoryAccess,953.0,2.5,,248.0,1937.0,,104.0,2364.0,2.0,0.0,Android,0.0,100.0
googlearchive/android-ScreenCapture,456.0,10.818181818181818,,82.63636363636364,883.4545454545455,,1153.0,2794.0,11.0,0.0,Android,0.0,100.0
googlearchive/android-ShareActionProvider,753.0,1.5,,13.5,647.0,,104.0,2377.0,2.0,0.0,Android,0.0,100.0
googlearchive/android-SharingShortcuts,172.0,2.0,,6356.0,3564.0,,104.0,2363.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-SkeletonWearableApp,381.0,2.5,,31.0,1326.0,,1667.5,1646.0,2.0,0.0,Android,0.0,100.0
googlearchive/android-SliceViewer,65.125,6.625,,1740.0,2591.375,,130.125,1899.875,8.0,0.0,Android,0.0,100.0
googlearchive/android-SlidingTabsBasic,995.0,4.6,,4.0,1061.0,,104.0,2377.0,5.0,0.0,Android,0.0,100.0
googlearchive/android-SlidingTabsColors,1291.5,1.5,,5.5,1137.0,,104.0,2377.0,2.0,0.0,Android,0.0,100.0
googlearchive/android-SpeedTracker,98.4,5.4,,107.2,920.8,,708.6,1156.8,5.0,0.0,Android,0.0,100.0
googlearchive/android-StorageProvider,692.8,3.4,,6.0,967.6,,729.4,2258.6,5.0,0.0,Android,0.0,100.0
googlearchive/android-SwipeRefreshListFragment,1022.0,2.0,,31.0,1774.0,,104.0,2364.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-VideoPlayer,0.5,1.5,,28.0,794.0,,144.0,1535.0,2.0,0.0,Android,0.0,100.0
googlearchive/android-WatchFace,215.35294117647058,12.882352941176471,,58.11764705882353,1386.5294117647059,,278.2352941176471,1803.5882352941176,17.0,0.0,Android,0.0,100.0
googlearchive/android-WatchViewStub,115.0,1.5,,44.5,1139.0,,1667.5,1528.5,2.0,0.0,Android,0.0,100.0
googlearchive/android-WclDemoSample,1261.0,1.0,,4.0,2405.0,,104.0,2367.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-WearAccessibilityApp,504.0,1.5,,23.0,1757.5,,104.0,2334.0,2.0,0.0,Android,0.0,100.0
googlearchive/android-WearCompanionLibrary,424.0,6.833333333333333,,39.333333333333336,1600.1666666666667,,66.33333333333333,1998.3333333333333,6.0,0.0,Android,0.0,100.0
googlearchive/android-WearOAuth,0.0,2.0,,42.666666666666664,1312.0,,70.0,1451.3333333333333,3.0,0.0,Android,0.0,100.0
googlearchive/android-WearSpeakerSample,118.0,2.0,,198.0,960.6666666666666,,69.33333333333333,1558.6666666666667,3.0,0.0,Android,0.0,100.0
googlearchive/android-WearStandaloneGoogleSignIn,31.0,2.0,,38.666666666666664,1942.6666666666667,,104.0,1824.0,3.0,0.0,Android,0.0,100.0
googlearchive/android-WearVerifyRemoteApp,392.6666666666667,2.0,,16.0,990.0,,69.66666666666667,1718.0,3.0,0.0,Android,0.0,100.0
googlearchive/android-WifiRttScan,2.0,1.0,,53.0,1151.0,,104.0,1986.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-XYZTouristAttractions,72.875,5.125,,25.875,979.5,,48.5,1583.25,8.0,0.0,Android,0.0,100.0
googlearchive/android-ads,28.25,9.416666666666666,,6.083333333333333,734.0833333333334,,184.0,1580.4166666666667,12.0,0.0,Android,0.0,100.0
googlearchive/android-audio-high-performance,221.16867469879517,62.674698795180724,,176.6987951807229,1619.120481927711,,109.95180722891567,1926.3253012048192,83.0,0.0,Android,0.0,100.0
googlearchive/android-codelab-watchface,958.3333333333334,2.3333333333333335,,388.6666666666667,494.0,,104.0,2377.0,3.0,0.0,Android,0.0,100.0
googlearchive/android-constraint-layout-performance,194.0,3.5,,52.5,1953.5,,1153.0,2794.0,2.0,0.0,Android,0.0,100.0
googlearchive/android-credentials,285.6666666666667,24.14814814814815,,19.703703703703702,1440.4814814814815,,265.2962962962963,1893.8148148148148,27.0,0.0,Android,0.0,100.0
googlearchive/android-dynamic-features,33.0,24.11764705882353,,27.470588235294116,1426.2941176470588,,1825.5882352941176,2527.264705882353,34.0,0.0,Android,0.0,100.0
googlearchive/android-fit,375.0681818181818,27.386363636363637,,7.136363636363637,909.1363636363636,,208.3409090909091,1969.659090909091,44.0,0.0,Android,0.0,100.0
googlearchive/android-fit-xamarin,758.0,1.0,,4.0,1480.0,,104.0,2377.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-gcmnetworkmanager,0.5,2.6666666666666665,,12.333333333333334,430.3333333333333,,1788.0,542.0,2.0,1.0,Android,33.33333333333333,66.66666666666666
googlearchive/android-google-accounts,1253.0,1.0,,0.0,0.0,,104.0,2363.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-instant-apps,57.51111111111111,25.866666666666667,,14.866666666666667,1284.4222222222222,,2157.777777777778,2372.3555555555554,45.0,0.0,Android,0.0,100.0
googlearchive/android-nearby,232.75862068965517,42.689655172413794,,10.275862068965518,1056.896551724138,,315.58620689655174,1797.0344827586207,29.0,0.0,Android,0.0,100.0
googlearchive/android-play-awareness,920.3333333333334,2.0,,248.66666666666666,1231.3333333333333,,104.0,2367.0,3.0,0.0,Android,0.0,100.0
googlearchive/android-play-places,787.3913043478261,37.768115942028984,,85.47826086956522,785.768115942029,,122.26086956521739,1847.9710144927535,69.0,0.0,Android,0.0,100.0
googlearchive/android-preferences,9.0,1.5,,234.5,1895.5,,1616.5,2372.5,2.0,0.0,Android,0.0,100.0
googlearchive/android-text,38.6,7.0,,1.6,1340.0,,3584.0,2001.0,5.0,0.0,Android,0.0,100.0
googlearchive/android-topeka,200.75757575757575,19.060606060606062,,156.93939393939394,1294.121212121212,,1509.3939393939395,2560.848484848485,33.0,0.0,Android,0.0,100.0
googlearchive/android-transition-examples,306.0,6.142857142857143,,95.28571428571429,1433.5714285714287,,81.28571428571429,2235.0,7.0,0.0,Android,0.0,100.0
googlearchive/android-ui-toolkit-demos,845.5,4.333333333333333,,523.5,1271.1666666666667,,104.0,2349.0,6.0,0.0,Android,0.0,100.0
googlearchive/android-unsplash,51.5,7.25,,92.375,1552.25,,2913.5,2357.625,8.0,0.0,Android,0.0,100.0
googlearchive/androidpay-quickstart,249.2,19.4,,6.32,772.28,,1502.24,1081.64,25.0,0.0,Android,0.0,100.0
googlearchive/androidtv-Leanback,365.0873786407767,93.14563106796116,,112.67961165048544,1061.7281553398059,,249.04901960784315,1982.2941176470588,103.0,0.0,Android,0.0,100.0
googlearchive/androidtv-VisualGameController,1563.0,1.0,,4.0,644.0,,104.0,2349.0,1.0,0.0,Android,0.0,100.0
googlearchive/angularfire-seed,44.15873015873016,50.656716417910445,,238.23880597014926,918.7611940298508,,191.67241379310346,1074.448275862069,63.0,4.0,Android,5.970149253731343,94.02985074626866
googlearchive/apigee-javascript-sdk,17.0,64.0,,25.0,919.3333333333334,,12.0,728.0,1.0,2.0,Android,66.66666666666666,33.33333333333333
googlearchive/app-drawer-template,51.333333333333336,17.3,,125.45,1456.6,,185.77777777777777,1661.111111111111,9.0,11.0,Android,55.00000000000001,45.0
